Q1,Q2_1,Q2_2,Q2_4,Q3,Q4_1,Q4_2,Q4_4,Q5,Q7,Q8
26,3,2,1,"I'm able to visualize the Gaze outline in more easier way, and the gaze hover is also better compared to Costant Ray, the Ray lacks proper distingushion between intentions.",3,1,2,"As described the Gaze hover helps me in easier way with in quick reaction time to pick and sort the items, while the Gaz eoutline us bit confusing and constant ray is not as appropriate",1,The visual clues helps a lot in avoiding the confusion and helps for easier access of items and better sorting
27,2,3,1,The thick outline made it clear what item I was going for. I did not like the hover as much because the solid color fill made it harder to distinguish and I didn't know if it was just the color of the object. The constant ray was decent as well.,2,3,1,"I liked and disliked the techniques for the same reasons listed above. Again, the gaze hover was my least favorite because for some items when the hover was on an object I couldnt tell if it was just the objects color. Specific objects always stood out with the outline.",1,"Yes, the outline was especially helpful as if a dangerous item was outlined I could still clearly see and identify that it was an item I didnt want to use."
28,3,1,2,Gaze Hover allowed me to better understand what my partner was selecting while the other two just showed me where his focus was which wasn't as important.,3,1,2,"Reduce the amount of times we accidently selected the same item, and Gaze outline kind of confused me a bit since it went all over the place.",2,"Seeing where mine or my partners focus was didn't really affect our abiltiy to avoid any of the dangerous item. Since it only really showed where our foucs, and didn't help to differentiate the items whatsoever"
29,1,3,2,"constant ray was consistent, the outline definitely helped a bit to identify and was more easier than the hover ",2,3,1,"Outline really helped to sort through things, much bigger and clear view",2,"Based on overall experience, I had no clue if the ones in red had to be avoided or not, since the instruction did not specify that, and the outline really was helpful, but would be better if it is does with lights turned off, for more clearer view"
30,2,3,1,"Although Constant Ray was the most accurate, I think it made it less realistic. The outline however added a gamified sense of what is being picked up without making it unrealistic",1,3,2,"Speaking about sorting, Constant Ray was the most practical, as I could avoid what my partner was looking at.",2,The visual queues just helped me avoid the objects being picked up by my partner and not the dangerous items. 
31,2,3,1,"Gaze outline is the best because it outlines the objects that I focus. Thus, it establishes a better connection between me and the device.",2,3,1,"in the gaze outline method, I was able to pick things up better than other techniques.",1,I liked the gaze outline technique because I could easily figure if the machine is also focusing on the item that I am focusing on. Constant ray is good but my eyes started aching after a while.
32,2,3,1,I was able to pick up more items when the items were outlined,2,3,1,it was better than the other two helped in picking up items easily,1,it helped me identify dangerous items
33,2,3,1,it is easier with outline,2,3,1,with this technique i was able to understand partners intentions,2,cues were not at all helpful;
34,1,2,3,constant rays are clearly visible even without my powered glasses and also i can feel the gaze hover,1,3,2,in sorting cinstant ray helps but gaze hover is a bit problematic,2,Because i was not having glasses i am unable to understand what is what
35,1,3,2,i was able to interact with my partner comparitively easier and quicker,3,2,1,outline was more clearer and faster to react to it,2,
36,1,2,3,"Being able to look at where exactly my partner is looking it helped me understand what to pick off the belt and what not to, which helped save time picking the wrong things and trying really hard to drag them into the bins",2,1,3,Sometimes Constant Ray can feel a bit distracting. Gaze Hover felt the most comfortable.,1,The cues were helpful since the items move a lil fast so its easy to pick the wrong items. The cues helped 
37,3,2,1,"I feel Gaze outline was more easier for me as it highlighted each and everything in trash and was very easier to understand what my partner is grabbing and what I am and it was coming easily in my hand , and then comes gaze hover , i feel it was the second best as it was easy to understand which trash product I am picking up as I hover on it, and the last comes Constant Ray in which it was very confusing at the start and we were not able to grab so many things as , as whenever we tried to pick something up it hovers on something else very quickly so it was difficult to grab. ",3,1,2,"In the Gaze hover I think sorting things was easy , next I feel was gaze outline as it was very clearly visible , and the last was constant ray it was very difficult as the ray quickly changed when we hover another object , it might hover on the object behind the we were hovering.",2,
38,2,3,1,"The outline really helped in making the objects visible and easy to handle, whereas constant ray helped too but outline helped more rather than constant ray. But gaze hover was that useful compared to the other two.",2,3,1,Outline was easier to sort as you can make out the object using outline as well and then constant ray as it helped with what partner is doing. In my opinion I didn't like the gaze hover as it was difficult for me and I didn't get much object in that.,1,Yes it was helpful as it allowed me to differentiate the objects which were harmful or dangerous.
39,2,3,1,The Gaze Hover was causind disturbances of not letting identing things correctly,2,3,1,The Gaze outline was more helpful in indentifing the things correctly,1,Yes in some cases 
40,2,1,3,like the gaze hover as it is easy to point the objects.,2,1,3,I feel it easy to sort for gaze hover.,2,partially helpful but need minor adjustments
