Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4,Q5
15,2,61,75,79,77,79,82,73,81,79,62,85,"My opinions remain the same as before, it would be great to have this in shared workspaces.","In the current context, when I was not able to see my gaze, I think there is way more interaction between us, and It's easy to see what the other person's doing without solely concentrating on what you are doing. I believe we got more trash sorted here than the previous task.  "
14,3,81,82,81,78,78,98,96,97,97,94,100,"I think this feels clearer which object is being gazed at, meaning highlighting the object is more effective than a laser. But there was a problem, which is the color of the highlight was white for both of us, at least that was what I saw, and when we're looking in the same direction, that kind of mix things up.","In this context, because of the object overlapping each other, sometimes even though we're looking at different objects, because those objects are close to each other, the highlights get mixed up. Other than that, I like highlighting more than the laser."
15,3,48,40,24,23,26,19,19,54,46,9,12,"My opinions have changed a bit. Having shared gaze is helpful, but not all types of visualization is the best for shared gaze viz technology.",I am not a huge fan of this visualization for shared gaze visualization. It does not give any sort of indication if either my partner is looking at an object or I am and makes unnecessary interaction which could be used toward completing the task. 
14,4,91,94,99,99,98,97,95,99,98,96,100,"Overall, I think the shared-gaze visualization helped in terms of collaboration, but verbal communication remains the main way of how we collaborated.","Again I like highlighting the object more. And this time, the design removed the part where our ""gazes"" mixing up when we're looking in the same direction."
15,4,35,39,42,42,40,42,37,53,57,20,32,My overall opinions have not changed.,"This form of visualization is not good, but when I'm able to not see what I'm doing and what my partner is doing it improves the communication between us and it kind of gets things done pretty fast."
16,2,91,97,92,92,92,55,55,36,55,75,36,"Helps understand what my partner is focusing on, and i can plan things accordingly.",For this task it really helps being able to see what object my partner wants to pick and so i can work on another object.
17,2,71,100,100,100,100,100,100,38,38,100,100,It's easy to observe my focus and my partner's focus.,It works well in the current context.
16,3,72,60,52,83,83,31,31,40,62,40,24,"While this technique lets me see which object my partner is looking at, it still isn't as good as the previous one since i feel the highlighting is delayed, and the pointer in the first one lets mee see their eyes gaze directly.","Kind of suitable for the current use case, since i can see the object they are looking at, but i still prefer the previous one."
17,3,100,58,58,58,58,72,72,45,45,83,100,It's interesting to see the object got highlighted when i looked at it.,It helps with selecting objects.
16,4,40,65,74,89,21,55,55,71,85,43,25,"Better than seeing both my and my partners objects being highlighted, since they were the same color. Now i know if something is highlighted, that my partner is looking at it.","Kind of useful, since i know what object they are working on. still prefer the gaze since it feels like an extension of their eye."
17,4,37,37,37,37,37,37,37,37,37,37,37,"maybe i have missed it, but there's no visual indicator of my partner's focus so i kind of felt confused which object he was picking up",it feels not less helpful than the other two conditions in sorting task
16,1,81,91,81,53,60,56,64,89,96,87,33,"Having boths gaze visible is again a little confusing, i'd rather just see my partners gaze and not mine, since i already know what i'm looking at.","Very useful since it lets me see where they're looking at, slightly confusing since i see my gaze too."
17,1,100,100,100,100,100,100,100,83,83,100,100,it's good to see each other's intent in the form of the Lazer,"it helps me when selecting objects, and me and my partner can communicate to decide which object to pick up"
18,3,8,38,38,80,80,48,50,57,56,55,51,it's okay,i can see my partner's line of sight
19,3,46,47,49,56,63,48,40,47,65,55,56,Glitchy system difficult to pick objects,I don't like it too much
18,4,17,17,6,37,38,9,8,9,8,11,9,Color blind - I could not tell what was highlighted or not,"I do not like it, Difficult to understand partner's gaze"
19,4,46,37,61,31,58,43,51,47,61,52,75,I don't like it at all because the system is too glitchy.,Not good because the system is too glitchy to do anything
18,1,39,34,44,46,47,48,48,48,49,48,49,Four lines (gaze visualization + selection line) are overwhelming,"I do not like it because the color of the gaze selection and finger selection gesture are the same, so when they are close to each other, it gets difficult to tall what is what?"
19,1,41,34,54,35,65,37,55,42,63,43,55,Very bad. Difficult to pick up objects.,I don't like it. I don't think it offers much in terms of collaboration
18,2,19,20,38,38,39,19,18,26,29,27,32,Best one so far,Best one so far
19,2,32,49,38,51,28,60,50,38,48,61,47,I found the technique to be very bad. We are doing the same task over and over again but it is difficult to pick up objects no matter the condition,I don't like it at all. Glitchy system.
20,4,60,70,65,80,81,66,44,68,66,53,76,A little jittery but i liked seeing what he could see so i didnt grab the same thing,"It was helpful for sure, but I don't think it was 100% needed"
21,4,40,50,50,80,81,49,49,38,39,48,38,I think shared-gaze visualizations are effective ways to understand a partner's intentions when collaborating on a task in AR,I would have preferred seeing a line for my partner's gaze. It wasn't easy to understand their gaze with only the highlight. 
20,1,84,58,70,85,86,81,93,95,95,89,84,Easier for me because I can see where I'm looking and where he's generally looking even if he couldnt grab anything,I think it would help with picking up objects since I can see what he's looking for more easily and im not paying attention to his head but I can see his gaze so that goes a long way
21,1,29,61,72,73,73,73,73,74,73,73,85,I think shared-gaze visualization is helpful to understand a collaborator's focus to more efficiently direct my own focus.,I liked being able to visualize my collaborator's gaze with the line. Unfortunately I was not able to pick anything up so that took away from our ability to collaborate using the shared-gaze visualization.
20,2,93,92,93,98,97,95,83,88,83,90,96,"This is the best one so far, not too much information overload with too many gaze pointers, but I think this one helped me see what he was doing most and let me go uninterrupted, though we did grab the smae object sometimes because gaze and hand dont always align ","I think this one is better than the other ones because it lets me see what he is seeing without overflooding my view, I don't really need to know what I'm looking at but what hes looking at helps me"
21,2,81,91,91,80,80,93,93,81,81,90,95,I think it is important to visualize shared-gaze to minimize communication in AR when collaborating on tasks.,"This shared-gaze visualization was my favorite so far. Not having multiple gaze visualizations helps things be less cluttered. I did not need to visualize my own gaze, seeing my collaborator's was sufficient. We did not need to communicate as much as previous trials. "
20,3,69,63,50,60,62,55,52,69,62,42,53,I couldn't tell what I was looking at vs. him because it highlighted the same color.,"I think that it works well, but it was a little bit of cognitive overload to see a thing highlight and then pinching it did nothing because it was highlighted due to my gaze, not due to my aim with my hand, so I got confused a few times."
21,3,91,95,91,91,94,90,90,90,90,94,94,Shared-gaze helps collaborators efficiently understand each other's intentions and complete tasks more quickly and effectively.,"I like this shared-gaze visualization the most. The line visualization cluttered the scene. This highlighting visualization technique was a bit confusing because I wasn't sure if things I was picking up were highlighted or things I was looking at were highlighted. Also I feel that gaze detection is not as accurate as detecting things I'm picking up. Still, this technique allowed me and my collaborator to not need to communicate, we got through all the items quickly and focused on recycling items that were closer to us and the highlights helped us know what doesn't need to be picked up because the collaborator is handling it. "
