sound,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q4,Q5
0,33,1,63,81,81,82,84,84,85,71,70,79,67,it is better than the one which i saw first ,it is so tiring for the eyes
0,33,2,70,71,72,72,73,74,74,75,75,77,73,little bit of problem to understand when two are looking at same object and also when objects are close,good
0,33,3,64,40,35,34,38,40,41,41,40,62,54,it is good but it is not good enough for people with eye sight. we are not able to see text if we doesnot have proper sight,it is ok
0,34,1,80,73,77,78,80,81,79,73,80,70,69,It is a bit better than first time i could see my partners line of focus so there is a kind of coordination between us this time.,It is better than last time as i can understand my partners focus
0,34,2,82,88,65,70,78,85,77,85,87,86,85,This can be more better but should also be able to helpful for people with glasses.,it is good than first task.
0,34,3,58,88,98,81,45,100,75,81,100,51,76,this is good but it is quite difficult for people who have glasses. without the glasses anything is not clear,I think it can be improved so that people with glasses can also use it and feel it.
0,37,1,100,100,100,100,100,100,100,100,100,100,100,"It is a very interesting and interactive technique and is very engaging, I enjoyed performing all the tasks.","It was great experience , it's engaging and interactive technique , I really enjoyed the whole procedure."
0,37,2,100,100,100,100,100,100,100,100,100,100,100,"The experience overall was great, it was very engaging and enjoyed a lot..","In this task I found that the trash was a little fast in speed and was going fast and we could grab some things out of it and we were also able to notice that if we are grabbing same thing at a time , it was really fun as we told before to each other what we will be grabbing by dividing it ."
0,37,3,100,98,94,100,100,99,95,100,100,100,100,"It's a great experience overall , this is time is more fun , it's easy to grab when highlighted it's very interactive engaging with your partner.","In this context it was more fun in the last round , all the things were highlighted and it was easier to grab them , but me and my partner were holding the same thing coincidently so it let us not to collect too many , but it was really fun this time and i enjoyed a lot."
0,38,1,100,100,100,100,100,100,100,100,100,100,100,I really liked the concept. It was interactive and quite mindfully done.,"I can be a little better, but I really enjoyed and liked the overall study."
0,38,2,100,100,91,91,100,100,100,100,100,91,100,It was fast compared to last time and it was not that easy to catch the objects.,This was not as efficient as before
0,38,3,100,100,100,100,100,100,100,81,89,100,100,This time it was easier to observe and to perform the task then last two times. The outline really helped to visualize and to use that at our advantage.,It was really creative and nice. This was the easiest one out of all other methods.
1,3,1,70,72,63,41,42,34,52,10,11,40,52,I never tried to notice what my partner was doing and we never interfered with each other,"interesting, but unnecessary"
1,3,2,77,71,80,40,39,77,77,11,12,48,63,highlighting the focus is helpful in understanding my partner's focus,better than before but still not needed
1,3,3,46,83,84,22,25,75,76,11,10,78,72,"outlined highlights are better, but never focused on what my partner was doing. Maybe useful if there were less items and me and my partner were fighting over them.",helpful UI makes it better
1,4,1,66,81,83,100,100,68,69,49,47,83,54,I like the ability to see what my partner is trying to do.,I like the line telling me where my partner is looking but it would be useful to have a graphic to see exactly which object my partner is trying to grab. When there are two or more objects in my partner's line of sight it is hard to tell which one they are grabbing.
1,4,2,83,61,91,97,97,22,19,83,83,73,43,It is helpful to have the information about my partner's actions.,It is better than the previous visualization but I would liked more distinction between what I'm grabbing and what my partner is grabbing. When objects are close it is hard to tell which object I grabbed and which my partner grabbed.
1,4,3,91,92,77,94,93,99,98,97,97,98,92,It is very useful to have the big outlines.,"I like that the outlines were very visible, even when I'm not directly looking at where my partner is working. I would like to have color coding to distinguish my objects with my partner's."
1,7,1,85,86,87,100,100,90,87,14,16,90,100,I think this technique is a overall great way to test and experiment with collaboration and I think it can give interesting insight into the way two people interact on a similar task when their gazes' are clashing.,"I think the laser was helpful since it gives a more direct line for interpretation compared to the others, although I still for some reason feel like I had the least issues in terms of clashing with my partner when it came to the highlights, I think different color highlights along with the laser would have been the most comprehensive."
1,7,2,75,85,85,100,100,75,65,55,65,90,100,It was really cool and engaging and a really interesting way to test collaboration between multiple parties.,"Pretty fun but a little buggy, overall just super engaging and interesting."
1,7,3,95,95,85,100,100,90,90,30,30,90,100,I still think its a really interesting way to test and experiment with collaboration and team work in a fun and engaging way.,"I think the outlines help alot with understanding the intention behind each gesture from both parties, this made the overal process and experience smoother and more enjoyable."
1,8,1,100,97,97,96,93,95,94,75,72,90,94,While it was a lot easier to understand what my partner was picking and also where my gaze. This allowed us to better understand who was going to pick which item.,I think being able to see when my partner is looking at really helped me decided which objects to go for and which not. In the current context i think the laser for visual gaze and the outline from the second task combined together would be the best for this task. 
1,8,2,84,73,49,95,96,64,64,88,84,100,100,It was very cool and interesting to see how we both worked on the same task together. ,I think it can be very useful for many areas today and a lot more in the future. 
1,8,3,100,96,92,98,92,89,90,79,77,100,100,I think this form was a lot better than the last. I was faster and I had an accurate understanding in what I was picking.,I think that this method makes it easier to do this task
1,11,1,61,50,50,51,51,68,53,53,53,63,73,,
1,11,2,71,61,56,59,59,55,55,57,57,69,84,"I think the resolution can be better, and it's good to have outline around the object when pointing at the it.  ",
1,11,3,92,100,100,100,100,65,74,75,76,93,100,,
1,12,1,61,61,54,78,62,63,63,66,60,63,59,"Although I can see my partner's gaze, I can't tell for sure which object he is focusing on","It is better than the last one, however, I would like it to also outline the object my partner is focusing on"
1,12,2,31,19,18,15,18,14,15,21,22,21,18,It's hard to tell which item was highlighted,"It requires more attention to see my partner's focus, many time I just don't bother to look at it."
1,12,3,28,23,23,24,23,21,21,21,20,16,15,"It will be more useful for me to tell which outlined item is my partner's(for instance, make the outline red)",Its impact is minimal
1,15,1,60,71,73,73,74,76,75,76,76,88,89,Good,Good 
1,15,2,93,71,72,90,72,86,86,86,87,89,89,good,great
1,15,3,100,100,99,100,100,100,88,100,100,92,96,good,great
1,16,1,50,70,90,80,56,74,73,82,74,40,55,Good,Good
1,16,2,91,77,80,64,73,83,91,81,90,43,50,Good ,Good 
1,16,3,74.70588235,73.85714286,72.62184874,75.82352941,74.69747899,72.17647059,71.34453782,68.3697479,67.7394958,74.36134454,78.47058824,WARNING: DATA CONTAINS MEAN FILL IN,
1,19,1,81,81,81,88,85,86,86,89,88,86,81,It is a good as we used them we can able to improve when we are using that and it is really very nice ,it is good
1,19,2,71,81,75,91,95,95,90,81,73,95,80,It is really a good exprience with this shred gaze  ,It is good
1,19,3,81,81,83,95,95,85,70,100,95,81,85,It is good and need to get improved little bit while catching the objects ,It is really a good 
1,20,1,80,83,73,77,71,71,73,79,73,75,75,I can easily understand the gaze but the red line feels like interruption in the middle change the color or make it more transparent,the experience is good but change the gaze color it feels more like interruption
1,20,2,90,90,85,85,90,85,85,80,80,88,86,I like the idea of it but i think the headset was a bit laggy. but i got the idea of it i think its useful,its good i guess it wokrs
1,20,3,75,81,80,82,81,81,71,78,71,71,79,I think the idea is good but the implementation needed to be refined,its good but the detection kinda doesnt work sometimes
1,23,1,88,95,92,81,90,84,88,76,78,97,96,Good,Good
1,23,2,93,90,91,87,83,86,81,75,75,93,93,Good,Good
1,23,3,78,73,83,45,79,45,71,44,52,88,90,Good,Good
1,24,1,90,86,91,80,80,93,85,97,91,100,100,The second attempt gives the experience of working with VR,It's excellent
1,24,2,86,95,95,100,100,98,98,96,87,100,100,I got more experience than first and second attempt with VR.,Good.
1,24,3,96,100,90,83,92,100,100,85,90,100,100,I liked the VR experience of visualization very much.,Good.
1,27,1,75,23,23,53,54,22,24,17,18,71,71,"it works fairly well but it is mostly a singular experience, as I dont really have any direct interaction with my partner",I think it works fairly well but sometimes there was confusion with an inability to know what my partner is trying to do
1,27,2,62,61,39,49,50,40,40,55,53,72,72,"It is good, the frame of view is limited sometimes though and I still dont have significant interaction with my partner","The limited field of view of the AR can be annoying with the objects vanishing from my FOV so I have to turn sharply to view them. Same thing with my hands, sometimes if I pull in too far it stops registering them and drops the object."
1,27,3,52,39,38,51,53,70,69,20,21,87,88,I like the outlines a lot they are the most clear method. Im not sure if it was because of calibration issues over time but there were a lot more instances of the AR bugging out and having me lose my item/pointer.,"I think the outlines worked very well for the garbage collection, my targets were very clear"
1,28,1,65,35,34,76,76,41,39,63,63,75,76,"My overall opinion is that it is cool, but it is sometimes hard to understand what the other person is doing.","It is interesting to use, but there were some problems in which we both kept picking up the same item leading to some problems when trying to complete the exercise since I didn't know what he was going to pick up."
1,28,2,70,69,68,70,72,73,73,69,75,74,74,The shared visualization technique helped me better understand what my partner was doing and allowed me to react accordingly.,"In the current context, it allowed me to better sort the recyclables since I knew which ones my partner was targeting which allowed me to focus on other objects."
1,28,3,71,60,81,70,69,75,75,68,68,72,69,"My overall opinions on this technique that it is effective to see where my partners focus is, but I can't really tell what he's selecting, and I see his focus a lot leading to some confusion when I try to complete the tasks.","In the current context, it allows me to see what my partner is looking at, but not select leading to some confusing on whether or not I should select an item or not since I don't know whether or not he's going to select that specific item, leading to some of the items going right by us."
1,31,1,70,75,77,78,77,82,86,86,87,85,80,"This is great but as I do it for longer duration, my eyes started to pain.","For this current context, this technique works but the objects should move slower than at the current speed and the glitches should be gone."
1,31,2,49,50,25,26,26,45,40,69,70,61,65,It is good but I wish it better distinguish mine and my partners actions,It should be smoother and more reactive to the hand gestures.
1,31,3,58,58,57,63,62,0,62,65,64,59,63,It is a useful technique.,It is good but needs to be more seamless and glitch-free
1,32,1,80,79,79,74,75,76,77,77,78,79,78,Its stressing my eyes out a lot. Its Good overall but can be improved more.,Good
1,32,2,30,50,50,61,51,80,80,62,61,67,76,it good but it can be improved while i was trying to do the picking up trash activity i could point to the trash items but i was only able to pick very few it was bit frustrating. Because im really trying to pick it up but that not working.,Needs to be improved
1,32,3,80,73,74,77,76,65,65,56,56,77,76,It was easier to pick up the trash when it is outlined. I was able to point out right and pick it up better when compared to the ones which were not outlined ,Good
1,35,1,87,84,92,65,74,99,87,75,90,93,95,"It was effective but not clear though,But i was able to interact and respond to my partner but slower","in the current context, the shared visuals were working fine, but i would say there was delay in the interaction"
1,35,2,59,54,73,75,55,78,56,94,100,72,84,I think it can work if the reaction time is quick for my partner's action,"well, objects were defining, and i was able to react to partners actions but not immediately"
1,35,3,70,91,100,96,0,95,88,100,87,94,100,"overall,it was a good visual for it's current stage i guess","the visuals were clear for the current task, I was able to differentiate the objects and the outline was clearly visible as the cursor moved around"
1,36,1,70,79,83,83,84,84,85,86,86,86,86,"This time, I was able to see where exactly my partner is looking, which helped a lot. The technique felt very engaging and fun.",I really liked this technique this time. I was able to easily understand where my partner is looking which made it a fun and interactive experience.
1,36,2,63,36,36,56,56,32,44,52,43,45,62,This time I was able to respond to my partner's actions better by paying more attention. I feel like the frequency of grabbing the same item was way less this time.,"I think it's a decent method, there could be improvements tho."
1,36,3,72,43,36,76,68,37,37,40,51,64,75,"I could not understand my partner's gaze easily, especially when we both try to grab the same item","I think if my partners laser was brighter, it would've been more helpful for me to notice that we're grabbing the same item. "
1,39,1,70,71,68,68,71,68,69,24,23,56,75,it is very enggaging and interactive ,It's is overall good 
1,39,2,58,59,35,33,34,33,33,33,35,35,35,In the 2nd task the intensions were not clearly representing,Overall it is good
1,39,3,92,93,91,90,89,90,90,90,89,70,92,With every task we performed we got more engaged and th e more easy if was for us to handle,Overall it is good
1,40,1,63,54,60,42,49,49,51,27,3,26,18,interesting and effective,visualization can be improved 
1,40,2,20,50,51,32,49,50,32,18,17,21,25,good and effective but requires minor improvement,effective
1,40,3,11,30,30,22,23,32,18,17,4,18,21,need minor adjustments in the technique,effective 
